,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
VPS13B,538,652,1065,964,1026,666
RGS22,51,74,30,98,89,36
MATN2,149,219,276,642,559,329
REEP2,14,25,17,96,88,143
PCBD2,511,598,510,687,808,626
SDF2,2050,2166,1510,1223,1411,1899
FLOT2,7368,7544,4840,4610,5716,9206
ERAL1,3796,3796,2496,1557,2117,3295
PRMT7,1137,1157,1108,696,821,1099
NIP7,2313,2235,1750,696,946,2444
TERF2,1008,1006,876,814,949,1043
VPS4A,2893,3155,3478,2486,2652,3661
MTSS2,356,355,414,348,401,295
HSPA12B,0,0,2,6,8,2
ANKEF1,867,973,404,596,715,884
SCP2D1,0,0,0,0,0,0
PCED1A,533,543,955,1160,1148,598
SNAP25,11,11,24,38,46,67
BTBD3,672,749,620,633,964,910
PCNA,4020,4403,2456,1296,1474,2822
NXT1,877,873,872,597,726,1024
POLR3F,495,483,342,256,261,429
RIN2,1414,1592,2867,1701,1841,1744
PTPRA,2446,2926,3789,3132,2933,3326
SSTR4,0,0,0,0,0,0
DAP3,4552,4604,3186,2107,2052,4752
RHBG,11,1,55,94,3,48
KHDC4,983,1132,2547,2020,2206,1071
ATP1A4,0,0,0,0,0,0
NES,41,43,103,99,76,322
BCAN,2,3,3,16,6,1
CRP,0,0,0,0,0,0
ARHGEF11,717,752,1004,640,740,638
RAB25,6335,6662,5643,4738,4010,5354
HAPLN2,1,0,0,5,5,0
APCS,0,0,0,0,0,0
FCRL2,0,9,11,5,0,0
DCAF8,2542,2575,3118,3501,3990,2436
SYT11,31,55,199,114,105,285
IGHMBP2,896,1107,1019,850,693,829
ACY3,41,34,23,3,3,14
ALDH3B2,464,555,2132,4628,1666,3239
TESMIN,29,40,75,115,89,67
MMACHC,120,157,127,75,92,112
DPH2,2099,1931,1751,882,1168,2059
TOE1,434,467,682,198,231,450
NASP,2521,3228,2448,2211,2421,2077
MUTYH,449,396,515,455,527,339
CTNNBL1,2518,2480,2502,1245,1320,2715
LPIN3,921,889,1936,2879,2972,801
ZSWIM3,265,279,137,157,324,90
RBM38,1555,1556,1409,951,1142,1420
VSTM2L,3970,4186,2026,1684,1743,1578
OSER1,1357,1447,2682,1358,1395,1118
SERINC3,9867,9541,9532,7243,8403,11177
PPP1R3D,795,763,1232,844,854,538
AL139352.1,0,0,0,0,0,0
DMGDH,2,4,39,39,81,10
BHMT2,16,3,2,16,7,14
AP3B1,4082,4177,3572,2736,2723,4819
ZBED3,111,116,71,193,303,118
PATJ,2222,2768,4789,3746,3618,1414
KANK4,47,19,0,0,0,0
ANGPTL3,0,6,3,7,6,0
SYT4,0,0,0,0,0,0
SLC14A2,2,1,0,2,0,0
FBXO44,574,590,790,888,1113,706
CPLANE2,149,147,116,136,197,92
CASP9,672,712,616,295,336,436
NMUR2,0,0,1,0,0,0
DCTN4,3287,3090,2248,2061,2305,2203
PDE6A,0,3,0,6,1,0
ATP8A2,273,272,119,278,295,99
MTUS2,3,5,9,5,18,2
ZMYM5,685,737,876,897,934,647
USPL1,955,799,703,716,1012,622
XPO4,926,1018,612,567,847,716
TPTE2,1,0,0,1,0,0
POMP,8085,8578,6188,3576,3410,8226
CDK8,939,1000,823,595,710,811
ALOX5AP,10,24,0,0,0,1
HMGB1P5,3477,3655,2777,2116,2287,2768
WASF3,162,174,141,116,159,355
RNF17,1,1,0,5,1,1
GPR12,0,0,2,0,0,4
CHRM3,16,15,1,48,40,27
MYH8,0,0,0,0,0,0
MYH10,1022,1332,769,1008,1224,1690
PEMT,791,811,449,491,568,527
SCO1,1806,2143,1647,1030,1123,2027
MPRIP,14976,14079,18311,3481,2290,9110
CHI3L1,2311,2274,6268,16862,22723,17365
MYBPH,45,28,75,54,71,8
PIK3C2B,127,87,178,132,158,83
DSTYK,1103,1044,1162,1222,1148,1175
CHIT1,0,2,4,4,0,1
SLC41A1,1408,1323,1080,1810,2697,1152
LGR6,2,2,39,0,0,1
TMCC2,62,62,48,40,78,122
DCLK1,150,219,19,54,154,6
CCNA1,442,516,308,341,520,1354
COG6,2185,1942,1842,1847,2175,2245
SPART,4823,4758,3499,2925,3872,4576
RXFP2,0,0,0,0,0,0
EPSTI1,597,1054,2191,57,72,88
TRPC4,2,6,54,26,59,17
POSTN,171,189,793,456,352,754
RFXAP,148,170,244,218,240,158
TPT1,13555,14753,18543,16214,17475,14722
GPALPP1,722,578,804,793,1071,729
STOML3,20,64,0,38,61,0
KL,0,0,31,1,17,0
RFC3,826,1064,613,390,332,783
STARD13,699,517,559,516,551,515
IRS4,0,0,0,0,0,0
MORC4,1453,1260,899,1194,1376,2613
BEX2,303,260,123,458,646,119
RNF128,2383,2503,1409,2015,2621,2389
GNG5P2,0,9,1,0,3,5
TBC1D8B,1059,991,796,1032,1421,808
TCEAL4,1789,1844,1096,1586,1526,1755
BEX1,29,40,51,70,63,104
FAM104A,2858,2967,2675,1575,1932,3115
SLC39A11,1206,1095,951,1337,1348,992
EPHB2,2084,1938,1330,564,825,1942
SRRM1,5039,5742,7812,6863,8710,6246
BTBD2,2933,2926,2400,2055,3077,3003
PRAM1,0,0,6,38,75,1
KMT5C,180,170,638,482,589,136
ZNF414,348,368,373,287,316,360
PDE6B,167,186,128,263,261,31
HSPBP1,2624,2530,1566,1135,1199,2006
CSNK1G2,3295,3352,4060,2320,2271,3443
SLF1,433,408,311,297,280,406
CNDP2,20219,20047,14116,12506,15766,12809
MACROD1,276,334,805,1049,1193,182
WDR74,1431,1461,1324,880,1034,1372
LGALS12,0,0,2,0,0,0
RTN3,7777,7829,5307,5016,6105,5955
PLAAT4,5500,5735,2720,2277,2310,2656
PLAAT2,611,764,726,187,226,614
MYH11,4,5,34,102,34,24
FOPNL,2362,2361,1721,1579,1926,2486
MED10,1691,1979,1957,1174,1282,2032
PDZD2,342,255,939,1114,866,248
MORC2,1573,1548,1253,947,1381,1478
LARGE1,555,538,618,362,548,449
GSTT2B,340,324,165,198,194,218
MYO18B,34,20,1,0,1,1
SLC2A11,295,241,187,270,270,211
C1QTNF6,98,84,204,370,382,319
GGT2,16,12,61,128,170,18
FAM83F,622,576,1263,797,835,1658
SEC14L4,17,15,94,16,20,29
ZDHHC8P1,23,17,1,14,33,7
GIMAP6,0,0,0,0,0,0
GIMAP4,0,1,0,0,0,0
